Autor;Sprecher;Titel;Orginaldatei;Datei;Start;End;Length;Size;Translated0;OriginalText;Action
Marc Elsberg;Steffen Groth;Blackout - Morgen ist es zu spät;01-01.mp3;01-01 (00041-00106).mp3;41;106;65;27586;dieses audioboch;dieses audiobook;train
Marc Elsberg;Steffen Groth;Blackout - Morgen ist es zu spät;01-01.mp3;01-01 (00109-00236).mp3;109;236;127;53499;dieses audio book wird ihnen präsentiert von ordebal;dieses audiobook wird ihnen präsentiert von audible;train
Marc Elsberg;Steffen Groth;Blackout - Morgen ist es zu spät;01-01.mp3;01-01 (00235-00382).mp3;235;382;146;61859;ordebel clever lesen einfach zeit sparen;adible clever lesen einfach zeit sparen;translate
Marc Elsberg;Steffen Groth;Blackout - Morgen ist es zu spät;01-01.mp3;01-01 (00416-00592).mp3;416;592;175;73980;mark elsberg blackout morgen ist es zu spät;marc elsberg blackout morgen ist es zu spät;translate
Marc Elsberg;Steffen Groth;Blackout - Morgen ist es zu spät;01-01.mp3;01-01 (00630-00695).mp3;630;695;65;27586;gelesen von stefen groth;gelesen von steffen groth;train
Marc Elsberg;Steffen Groth;Blackout - Morgen ist es zu spät;01-01.mp3;01-01 (00818-00907).mp3;818;907;89;37617;tag null freitag;tag null freitag;train
Marc Elsberg;Steffen Groth;Blackout - Morgen ist es zu spät;01-01.mp3;01-01 (00945-01010).mp3;945;1010;65;27586;mailand;mailand;train
Marc Elsberg;Steffen Groth;Blackout - Morgen ist es zu spät;01-01.mp3;01-01 (01048-01324).mp3;1048;1324;276;115775;wie ein verrückter riss piero man sano das lenkrad herum während die kühler haube seines alpha unbeirrt auf den blassgrünen wagen vor ihn zuglitt;wie ein verrückter riss piero manzano das lenkrad herum während die kühlerhaube seines alfa unbeirrt auf den blassgrünen wagen vor ihm zuglitt;train
Marc Elsberg;Steffen Groth;Blackout - Morgen ist es zu spät;01-01.mp3;01-01 (01374-01443).mp3;1374;1443;69;29258;er stemmte beide arme gegen das lenkrad;er stemmte beide arme gegen das lenkrad;train
Marc Elsberg;Steffen Groth;Blackout - Morgen ist es zu spät;01-01.mp3;01-01 (01453-01670).mp3;1453;1670;217;91116;glaubte das hässliche geräusch mit dem sich zwei karosserien ineinander verkeilen schon zu hören bremse;glaubte das hässliche geräusch schon zu hören mit dem sich zwei karosserien ineinander verkeilen bremse;train
Marc Elsberg;Steffen Groth;Blackout - Morgen ist es zu spät;01-01.mp3;01-01 (01683-01824).mp3;1683;1824;141;59351;schlitternde reifen im rücknspiegel die lichter der autos hinter ihm;schlitternde reifen im rückspiegel die lichter der autos hinter ihm;train
Marc Elsberg;Steffen Groth;Blackout - Morgen ist es zu spät;01-01.mp3;01-01 (01842-01907).mp3;1842;1907;65;27586;gleich der aufprall;gleich der aufprall;train
