Autor;Sprecher;Titel;Orginaldatei;Datei;Start;End;Length;Size;Translated0;OriginalText;Action;Sort1
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (00013-00071).mp3;13;71;58;24660;ein junge überlebt;ein junge überlebt;train;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (00105-00292).mp3;105;292;187;78577;mr und mrs dursley im ligusterweg nummer vier;mr und mrs dursley im ligusterweg nummer vier;train;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (00304-00475).mp3;304;475;171;71889;waren stolz darauf ganz und gar normal zu sein sehr stolz sogar;waren stolz darauf ganz und gar normal zu sein sehr stolz sogar;train;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (00502-00851).mp3;502;851;350;147123;niemand wäre auf die idee gekommen sie könnten sich in eine merkwürdige und geheimnisvolle geschichte verstricken denn mit solchem unsinn wollten sie nichts zu tun haben;niemand wäre auf die idee gekommen sie könnten sich in eine merkwürdige und geheimnisvolle geschichte verstricken denn mit solchem unsinn wollten sie nichts zu tun haben;train7;1
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (00893-01065).mp3;893;1065;172;72307;mr dursley war direktor einer firma namens grunnings;mr dursley war direktor einer firma namens grunnings;train;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (01064-01139).mp3;1064;1139;75;31765;die bohrmaschinen herstellte;die bohrmaschinen herstellte;train;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (01150-01290).mp3;1150;1290;140;58933;er war groß und bullig und hatte fast keinen hals;er war groß und bullig und hatte fast keinen hals;train;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (01289-01374).mp3;1289;1374;85;35945;dafür aber einen sehr großen schnurrbart;dafür aber einen sehr großen schnurrbart;train;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (01403-01863).mp3;1403;1863;460;192680;mrs dursley war dünn und blond und besaß doppelt so viel hals wie notwendig gewesen wäre was allerdings sehr nützlich war denn so konnte sie den hals über den gartenzaun recken und zu den nachbarn;mrs dursley war dünn und blond und besaß doppelt so viel hals wie notwendig gewesen wäre was allerdings sehr nützlich war denn so konnte sie den hals über den gartenzaun recken und zu den nachbarn;train;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (01902-02261).mp3;1902;2261;334;140435;die dursleys hatten einen kleinen sohn namens dudley und in ihren augen gab es nirgendwo einen prächtigeren jungen;die dursleys hatten einen kleinen sohn namens dudley und in ihren augen gab es nirgendwo einen prächtigeren jungen;train8;1500
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (02267-02519).mp3;2267;2519;244;102819;die dursleys besaßen alles was sie wollten doch sie hatten auch ein geheimnis;die dursleys besaßen alles was sie wollten doch sie hatten auch ein geheimnis;translate;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (02544-02719).mp3;2544;2719;175;73561;und dass es jemand aufdecken könnte war ihre größte sorge;und dass es jemand aufdecken könnte war ihre größte sorge;train;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (02720-02751).mp3;2720;2751;31;13375;einfach;einfach;train;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (02750-02911).mp3;2750;2911;161;67710;unerträglich wäre es wenn die sache mit den potters herauskommen würde;unerträglich wäre es wenn die sache mit den potters herauskommen würde;train;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (02930-02999).mp3;2930;2999;69;29258;mrs potter;mrs potter;train;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (02999-03080).mp3;2999;3080;81;34273;war die schwester von mrs dursley;war die schwester von mrs dursley;train;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (03097-03350).mp3;3097;3350;253;106162;doch die beiden hatten sich schon seit etlichen jahren nicht mehr gesehen mrs dursley behauptete sogar dass sie gar keine schwester hätte;doch die beiden hatten sich schon seit etlichen jahren nicht mehr gesehen mrs dursley behauptete sogar dass sie gar keine schwester hätte;train;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (03365-03622).mp3;3365;3622;257;107834;denn diese und deren nichtsnutz von einem mann waren so undursleyhaft wie man es sich nur denken konnte;denn diese und deren nichtsnutz von einem mann waren so undursleyhaft wie man es sich nur denken konnte;train;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (03629-03845).mp3;3629;3845;216;90698;was würden bloß die nachbarn sagen sollten die potters eines tages in ihrer straße aufkreuzen;was würden bloß die nachbarn sagen sollten die potters eines tages in ihrer straße aufkreuzen;train9;100
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (03869-04056).mp3;3869;4056;187;78577;die dursleys wussten dass auch die potters einen kleinen sohn hatten;die dursleys wussten dass auch die potters einen kleinen sohn hatten;train;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (04067-04138).mp3;4067;4138;71;30094;doch den hatten sie nie gesehen;doch den hatten sie nie gesehen;train;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (04158-04457).mp3;4158;4457;299;125388;auch dieser junge war ein guter grund sich von den potters fernzuhalten mit einem solchen kind sollte ihr dudley nicht in berührung kommen;auch dieser junge war ein guter grund sich von den potters fernzuhalten mit einem solchen kind sollte ihr dudley nicht in berührung kommen;train;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (04537-04803).mp3;4537;4803;266;111596;als mr und mrs dursley an dem trüben und grauen dienstag an dem unsere geschichte beginnt die augen aufschlugen;als mr und mrs dursley an dem trüben und grauen dienstag an dem unsere geschichte beginnt die augen aufschlugen;train;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (04825-05108).mp3;4825;5108;283;118701;war an dem wolkenverhangenen himmel draußen kein vorzeichen der merkwürdigen und geheimnisvollen dinge zu erkennen;war an dem wolkenverhangenen himmel draußen kein vorzeichen der merkwürdigen und geheimnisvollen dinge zu erkennen;train;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (05111-05142).mp3;5111;5142;31;13375;die bald;die bald;train;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (05141-05222).mp3;5141;5222;81;34273;überall im land geschehen sollten;überall im land geschehen sollten;train;0
J. K. Rowling;Rufus Beck;Harry Potter 1 - und der Stein der Weisen;1-02 Ein Junge überlebt.mp3;1-02 Ein Junge ueberlebt (05261-05719).mp3;5261;5719;458;191844;mr dursley summte vor sich hin und suchte sich für die arbeit seine langweiligste krawatte aus und mrs dursley schwatzte munter vor sich hin während sie mit dem schreienden dudley rangelte und ihn in seinen hochstuhl zwängte;mr dursley summte vor sich hin und suchte sich für die arbeit seine langweiligste krawatte aus und mrs dursley schwatzte munter vor sich hin während sie mit dem schreienden dudley rangelte und ihn in seinen hochstuhl zwängte;train;0
