Autor;Sprecher;Titel;Orginaldatei;Datei;Start;End;Length;Size;Translated0;OriginalText;Action;Translated1
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;001_Rowling_HP_Kammer.mp3;001_Rowling_HP_Kammer (00006-00104).mp3;6;104;98;41378;harry potter und die kammer des schreckens;harry potter und die kammer des schreckens;train;harry potter und die kammer des schreckens
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;001_Rowling_HP_Kammer.mp3;001_Rowling_HP_Kammer (00116-00181).mp3;116;181;65;27586;von joanne k rowling;von joanne k rowling;train;von joanne k rowling
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;001_Rowling_HP_Kammer.mp3;001_Rowling_HP_Kammer (00209-00287).mp3;209;287;78;33019;aus dem englischen von klaus fritz;aus dem englischen von klaus fritz;train;aus dem englischen von klaus fritz
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;001_Rowling_HP_Kammer.mp3;001_Rowling_HP_Kammer (00309-00374).mp3;309;374;65;27586;gelesen von rufus beck;gelesen von rufus beck;train;gelesen von rufus beck
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (00024-00131).mp3;24;131;107;45140;ein grässlicher geburtstag;ein grässlicher geburtstag;train;ein grässlicher geburtstag
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (00131-00309).mp3;131;309;178;74815;im ligusterweg nummer vier war mal wieder bereits beim frühstücksstreit ausgebrochen;im ligusterweg nummer vier war mal wieder bereits beim frühstück streit ausgebrochen;train;im ligusterweg nummer vier war mal wieder bereits beim frühstück streit ausgebrochen
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (00321-00900).mp3;321;900;579;242417;ein lautes kreischen aus dem zimmer seines neffen harry hatte mr vernon dursley in aller hergotts früher aus dem schlaf gerissen schon das dreite mal diese woche polterte er über den tisch hinweg wenn du dies eule nicht in den griff kriegst fliegt sie raus;ein lautes kreischen aus dem zimmer seines neffen harry hatte mr vernon dursley in aller herrgottsfrühe aus dem schlaf gerissen schon das dritte mal diese woche polterte er über den tisch hinweg wenn du diese eule nicht in den griff kriegst fliegt sie raus;train;ein lautes kreischen aus dem zimmer seines neffen harry hatte mr vernon dursley in aller hergotts früher aus dem schlaf gerissen schon das dritte mal diese woche polterte er über den tisch hinweg wenn du diese eule nicht in den griff kriegst fliegt sie raus
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (00901-01082).mp3;901;1082;181;76069;harry versuchte übrigens nicht zum ersten mal die sache zu erklären;harry versuchte übrigens nicht zum ersten mal die sache zu erklären;train;harry versuchte übrigens nicht zum ersten mal die sache zu erklären
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (01092-01395).mp3;1092;1395;303;127060;sie langweilt sich sagte er sonst fliegt sie doch immer draußen rum könnte ich sie nicht wenigstens nachts rauslassen;sie langweilt sich sagte er sonst fliegt sie doch immer draußen rum könnte ich sie nicht wenigstens nachts rauslassen;train;sie langweil zig sagte er sonst fliegt sie doch immer draußen rum könnte ich sie nicht wenigstens nachts rauslassen
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (01407-01478).mp3;1407;1478;71;30094;hältst du mich ver blöde;hältst du mich für blöde;train;hältst du mich für blöde
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (01479-01834).mp3;1479;1834;341;143361;raunzte ihn onkel vernon an während ein stück spiegelei in seinem buschigen schnauzbart erzitterte ich weiß doch was passiert wenn diese eule rauskommt;raunzte ihn onkel vernon an und ein stück spiegelei baumelte von seinem buschigen schnauzbart herunter ich weiß doch was passiert wenn diese eule rauskommt;translate;raunzte ihn onkel vernon an während ein stück spiegelbei in seinem buschigen schnauzbart erzitterte ich weiß doch was passiert wenn diese eule rauskommt
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (01842-01925).mp3;1842;1925;83;35109;er wechselte finstere blicke;er wechselte finstere blicke;train;er wechselte finstere blicke
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (01931-01998).mp3;1931;1998;67;28422;mit seiner gattin petunia;mit seiner gattin petunia;train;mit seiner gattin petunia
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (02028-02098).mp3;2028;2098;70;29676;harry wollte widersprechen;harry wollte widersprechen;train;harry wollte widersprechen
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (02097-02252).mp3;2097;2252;155;65202;doch seine worte gingen in einem lang gezogenen lauten rülpser unter;doch seine worte gingen in einem lang gezogenen lauten rülpser unter;train;doch seine worte gingen in einem lang gezogenen lauten rülpser unter
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (02272-02377).mp3;2272;2377;105;44304;urheber dessen war dudley;urheber dessen war dudley;train;urheber dessen war dudley
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (02388-02459).mp3;2388;2459;71;30094;der sohn der dursleys;der sohn der dursleys;train;der sohn der dursleys
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (02468-02967).mp3;2468;2967;468;196860;merschinken hin der pfanne ist noch welcher schätzchen sagte tante petunia und wandte sich mit verschleierten augen ihrem verfetteten sohn zu wir müssen dich penneln solange wir können;mehr schinken in der pfanne ist noch welcher schätzchen sagte tante petunia und wandte sich mit verschleierten augen ihrem verfetteten sohn zu wir müssen dich päppeln solange wir können;translate;mehr schinken hin der pfanne ist noch welcher schätzchen sagte tante petunia und wandte sich mit verschleierten augen ihrem verfetteten sohn zu wir müssen dich päppeln solange wir können
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (02971-03471).mp3;2971;3471;501;210653;mir gefaällen die gerauhe nicht die die schulkost in deinem magen veranstaltet unsinn petunia ich bin damals in smeltings immer satt geworden warf onkel vernon beherzt ein dudley kriegt genug;mir gefällt nicht was ich über diese schulkost gehört habe unsinn petunia ich bin damals in smeltings immer satt geworden warf onkel vernon energisch ein dudley kriegt genug;translate;mir gefällen direrause nicht die die schulkostin deinem magen veranstaltet unsinn petunia ich bin damals in smeltings immer satt geworden warf onkel vernon beherzt ein dudley kriegt genug
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (03470-03849).mp3;3470;3849;349;146705;ist waher mein junge dudley dessen hintern zu beiden seiten des küchenstuhls herabhing grinste und drehte sich zu harry um;nicht wahr mein junge dudley dessen hintern zu beiden seiten des küchenstuhls herabhing grinste und drehte sich zu harry um;translate;nicht wahrr mein junge dudley dessen hintern zu beiden seiten des küchenstuhls herabhing grinste und drehte sich zu harry um
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (03851-03903).mp3;3851;3903;52;22152;gib mir die pfanne;gib mir die pfanne;train;gib mir die die pfanne
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (03923-04082).mp3;3923;4082;159;66874;du hast das zauberwort vergessen sagte harry gereizt;du hast das zauberwort vergessen sagte harry gereizt;train;du hast das zauberwort vergessen sagte harry gereizt
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (04101-04173).mp3;4101;4173;72;30512;dieser schlichte satz;dieser schlichte satz;train;dieser schlichte satz
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (04183-04299).mp3;4183;4299;116;48902;hatte eine gewaltigewirkung auf den rest der familie;hatte eine gewaltige wirkung auf den rest der familie;train;hatte eine gewaltige wirkung auf den rest der familie
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (04304-04508).mp3;4304;4508;204;85682;dudley riss den mund auf und fiel mit einem küchenerschütternden krachen vom stuhl;dudley riss den mund auf und fiel mit einem küchenerschütternden krachen vom stuhl;train;dudley riss den mund auf und fiel mit einem küchenerschütternden krachen vom stuhl
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (04537-04709).mp3;4537;4709;172;72307;mrs dursley stieß einen spitzen schrei aus und schlug die hände vor den mund;mrs dursley stieß einen spitzen schrei aus und schlug die hände vor den mund;train;mrs dursley stieß einen spitzen schrei aus und schlug die hände vor den mund
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (04709-06567).mp3;4709;6567;1821;761941;mr dursley sprang vom tisch auf das blut pulsierte wild in seinen stirnadern ich habe bitte gemeint setzte harry rasch nach und nicht herb ich dir nicht gesagt tobte sein onkel und besprüte dabei den tisch mit spucke das wort mit zct kommt mir in diesem haus nicht vor aber ich wie kannst du es magen dudley zu bedrohen brüllte onkel vernon und hämmerte mit der faust auf den tisch ich hab doch nur ich hab dech gewarnt unter meinem dach wüll ich nichts von deiner abmomiltät hörren harrys blick wanderte vom purpurroten gesicht des onkels hinüber zur aschfahlen tante die sich mühte dudley wieder auf die beine zu hieven schon gut sagte harry schon gut;mr dursley sprang vom tisch auf das blut pulsierte wild in seinen stirnadern ich habe bitte gemeint setzte harry rasch nach und nicht habe ich dir nicht gesagt tobte sein onkel und besprühte dabei den tisch mit spucke das wort mit z kommt mir in diesem haus nicht vor aber ich wie kannst du es wagen dudley zu bedrohen brüllte onkel vernon und hämmerte mit der faust auf den tisch ich hab doch nur ich habe dich gewarnt unter meinem dach will ich nichts von deiner abnormität hören harrys blick wanderte vom purpurroten gesicht des onkels hinüber zur aschfahlen tante die sich mühte dudley wieder auf die beine zu hieven schon gut sagte harry schon gut;translate;mr dursley sprang vom tisch auf das blut pulsierte wild in seinen stirnadern ich habe bitte gemeint setzte harry rasch nach und nicht habe ich dir nicht gesagt tobte sein onkel und besprühte dabei den tisch mit spucker das wort mitzeckt kommt mir in diesem haus nicht vor aber ich wiel kannst du es wagen dudley zu bedrohen brüllte onkel vernon und hämmerte mit der faust auf den tisch ich habe doch nur ich habe dich gewarnt unter meinem dach will ich nichts von deiner abnomität hören harrys blick wanderte vom purpurroten gesicht des onkels hinüber zur aschfahlen tante die sich mühte dudley wieder auf die beine zu hieven schon gut sagte harry schon gut
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (06591-06928).mp3;6591;6928;337;141271;schnaubend wie ein erschöpftes nashorn setzte sich onkel vernon wiederhin und beobachtete harry aus den winkeln seiner kleinen stechenden augen;schnaubend wie ein erschöpftes nashorn setzte sich onkel vernon wieder hin und beobachtete harry aus den winkeln seiner kleinen stechenden augen;train;schnaubend wie ein erschöpftes nashorn setzte sich onkel vernon wieder hin und beobachtete harry aus den winkeln seiner kleinen stechenden augen
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (06991-07488).mp3;6991;7488;497;208144;seit harry zu beginn der sommerferie nach hause gekommen war hatte onkel vernon ihn behandelt wie eine bombe die jeden moment hochgehen könnte denn harry potter war kein normaler junge;seit harry zu beginn der sommerferien nach hause gekommen war hatte onkel vernon ihn behandelt wie eine bombe die jeden moment hochgehen könnte denn harry war kein normaler junge;train;seit harry zu beginn der sommerferien nach hause gekommen war hatte onkel vernon ihn behandelt wie eine bombe die jeden moment hochgehen könnte denn harry potter war kein normaler junge
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (07487-07557).mp3;7487;7557;70;29676;in der tat;in der tat;train;in der tat
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (07556-07692).mp3;7556;7692;136;57261;war er so wenig normal wie überhaupt vorstellbar;war er so wenig normal wie überhaupt vorstellbar;train;war er so wenig normal wie überhaupt vorstellbar
J. K. Rowling;Rufus Beck;Harry Potter 2 - und die Kammer des Schreckens;002_Rowling_HP_Kammer.mp3;002_Rowling_HP_Kammer (07723-07848).mp3;7723;7848;125;52663;harry potter war ein zauberer;harry potter war ein zauberer;train;harry potter war ein zauberer
