Autor;Sprecher;Titel;Orginaldatei;Datei;Start;End;Length;Size;Translated0;OriginalText;Action;Sort1
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und der Gefangene von Askaban;CD01 - 01 - Eulenpost.mp3;CD01 - 01 - Eulenpost (00052-00169).mp3;52;169;117;49320;harry potter und der gefangene von askaban;harry potter und der gefangene von askaban;train;0
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und der Gefangene von Askaban;CD01 - 01 - Eulenpost.mp3;CD01 - 01 - Eulenpost (00187-00250).mp3;187;250;63;26750;von joanne k rowling;von joanne k rowling;train;0
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und der Gefangene von Askaban;CD01 - 01 - Eulenpost.mp3;CD01 - 01 - Eulenpost (00278-00353).mp3;278;353;75;31765;aus dem englischen von klaus fritz;aus dem englischen von klaus fritz;train;0
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und der Gefangene von Askaban;CD01 - 01 - Eulenpost.mp3;CD01 - 01 - Eulenpost (00378-00461).mp3;378;461;83;35109;gelesen von felix von manteuffel;gelesen von felix von manteuffel;train;0
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und der Gefangene von Askaban;CD01 - 02 - Eulenpost.mp3;CD01 - 02 - Eulenpost (00016-00062).mp3;16;62;46;19645;eulenpost;eulenpost;train;0
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und der Gefangene von Askaban;CD01 - 02 - Eulenpost.mp3;CD01 - 02 - Eulenpost (00138-00188).mp3;138;188;50;21316;harry potter;harry potter;train;0
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und der Gefangene von Askaban;CD01 - 02 - Eulenpost.mp3;CD01 - 02 - Eulenpost (00197-00344).mp3;197;344;147;61858;war in vielerlei hinsicht ein höchst ungewöhnlicher junge;war in vielerlei hinsicht ein höchst ungewöhnlicher junge;train;0
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und der Gefangene von Askaban;CD01 - 02 - Eulenpost.mp3;CD01 - 02 - Eulenpost (00367-00560).mp3;367;560;193;81085;so hasste er zum beispiel die sommerferien mehr als jede andere zeit des jahres;so hasste er zum beispiel die sommerferien mehr als jede andere zeit des jahres;train7;100
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und der Gefangene von Askaban;CD01 - 02 - Eulenpost.mp3;CD01 - 02 - Eulenpost (00575-00756).mp3;575;756;181;76069;zudem wollte er in den ferien eigentlich gern für die schule lernen;zudem wollte er in den ferien eigentlich gern für die schule lernen;train9;100
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und der Gefangene von Askaban;CD01 - 02 - Eulenpost.mp3;CD01 - 02 - Eulenpost (00758-00846).mp3;758;846;88;37199;doch er war gezwungen dies heimlich;doch er war gezwungen dies heimlich;train;0
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und der Gefangene von Askaban;CD01 - 02 - Eulenpost.mp3;CD01 - 02 - Eulenpost (00845-00934).mp3;845;934;89;37617;und in tiefster nacht zu tun;und in tiefster nacht zu tun;train;0
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und der Gefangene von Askaban;CD01 - 02 - Eulenpost.mp3;CD01 - 02 - Eulenpost (00938-00989).mp3;938;989;51;21734;und außerdem;und außerdem;train;0
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und der Gefangene von Askaban;CD01 - 02 - Eulenpost.mp3;CD01 - 02 - Eulenpost (00992-01049).mp3;992;1049;57;24242;war er ein zauberer;war er ein zauberer;train;0
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und der Gefangene von Askaban;CD01 - 02 - Eulenpost.mp3;CD01 - 02 - Eulenpost (01082-01232).mp3;1082;1232;150;63112;es war schon fast mitternacht und er lag bäuchlings im bett;es war schon fast mitternacht und er lag bäuchlings im bett;train;0
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und der Gefangene von Askaban;CD01 - 02 - Eulenpost.mp3;CD01 - 02 - Eulenpost (01232-01524).mp3;1232;1524;292;122045;die bettdecke wie ein zelt über seinen kopf gezogen eine taschenlampe in der hand und ein großes in leder gebundenes buch;die bettdecke wie ein zelt über seinen kopf gezogen eine taschenlampe in der hand und ein großes in leder gebundenes buch;train;0
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und der Gefangene von Askaban;CD01 - 02 - Eulenpost.mp3;CD01 - 02 - Eulenpost (01531-01715).mp3;1531;1715;184;77323;geschichte der zauberei von bathilda bagshot ans kopfkissen gelehnt;geschichte der zauberei von bathilda bagshot ans kopfkissen gelehnt;train;0
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und der Gefangene von Askaban;CD01 - 02 - Eulenpost.mp3;CD01 - 02 - Eulenpost (01742-02351).mp3;1742;2351;609;254956;mit zusammengezogenen brauen fuhr er mit der spitze seiner adlertintenfeder über die buchseiten auf der suche nach etwas brauchbarem für seinen aufsatz die hexenverbrennung im vierzehnten jahrhundert war vollkommen sinnlos erörtern sie die these;mit zusammengezogenen brauen fuhr er mit der spitze seiner adlertintenfeder über die buchseiten auf der suche nach etwas brauchbarem für seinen aufsatz die hexenverbrennung im vierzehnten jahrhundert war vollkommen sinnlos erörtern sie die these;train7;10000
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und der Gefangene von Askaban;CD01 - 02 - Eulenpost.mp3;CD01 - 02 - Eulenpost (02391-02568).mp3;2391;2568;177;74397;am beginn eines vielversprechenden absatzes hielt die feder inne;am beginn eines vielversprechenden absatzes hielt die feder inne;train9;10000
J. K. Rowling;Felix von Mannteufel;Harry Potter 2 - und der Gefangene von Askaban;CD01 - 02 - Eulenpost.mp3;CD01 - 02 - Eulenpost (02586-02731).mp3;2586;2731;145;61023;harry schob die brille mit den runden gläsern die nase hoch;harry schob die brille mit den runden gläsern die nase hoch;train;0
