Autor;Sprecher;Titel;Orginaldatei;Datei;Start;End;Length;Size;Translated0;OriginalText;Action;Sort1
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;001 - Intro.mp3;001 - Intro (00188-00291).mp3;188;291;103;43468;aus dem amerikanischen von michael siefener;aus dem amerikanischen von michael siefener;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;001 - Intro.mp3;001 - Intro (01070-01181).mp3;1070;1181;111;46812;so viele menschen sind von mir abhängig;so viele menschen sind von mir abhängig;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;001 - Intro.mp3;001 - Intro (01367-01470).mp3;1367;1470;103;43468;was würden sie wohl sagen wenn sie wüssten;was würden sie wohl sagen wenn sie wüssten;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;001 - Intro.mp3;001 - Intro (01725-01822).mp3;1725;1822;97;40960;vielleicht wären sie gar nicht mal entsetzt;vielleicht wären sie gar nicht mal entsetzt;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;002 - Prolog.mp3;002 - Prolog (01958-02058).mp3;1958;2058;100;42214;aber so waren die skaa nun einmal;aber so waren die skaa nun einmal;train;1
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;002 - Prolog.mp3;002 - Prolog (04101-04197).mp3;4101;4197;96;40543;diese tätowierungen waren enorm;diese tätowierungen waren enorm;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;002 - Prolog.mp3;002 - Prolog (06572-06664).mp3;6572;6664;92;38871;flüchtige niemals;flüchtige niemals;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;002 - Prolog.mp3;002 - Prolog (08230-08344).mp3;8230;8344;114;48066;tresting hatte die arbeiter nur von seinem gott;tresting hatte die arbeiter nur von seinem gott;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;002 - Prolog.mp3;002 - Prolog (08770-08880).mp3;8770;8880;110;46394;trotz des ascheregens war es heute sehr hell;trotz des ascheregens war es heute sehr hell;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;002 - Prolog.mp3;002 - Prolog (09150-09244).mp3;9150;9244;94;39707;tresting zog ein taschentuch hervor;tresting zog ein taschentuch hervor;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;002 - Prolog.mp3;002 - Prolog (10161-10278).mp3;10161;10278;117;49320;tresting unterdrückte einen seufzer der erleichterung;tresting unterdrückte einen seufzer der erleichterung;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;002 - Prolog.mp3;002 - Prolog (11069-11173).mp3;11069;11173;104;43886;der obligator drehte sich zu ihm um;der obligator drehte sich zu ihm um;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;002 - Prolog.mp3;002 - Prolog (11411-11510).mp3;11411;11510;99;41796;wollt ihr nicht bis zum abendessen bleiben;wollt ihr nicht bis zum abendessen bleiben;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;002 - Prolog.mp3;002 - Prolog (13834-13947).mp3;13834;13947;113;47648;ich habe keine weiteren fragen mehr was;ich habe keine weiteren fragen mehr was;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;002 - Prolog.mp3;002 - Prolog (13946-14061).mp3;13946;14061;115;48484;euren umgang mit den skaa frauen angeht;euren umgang mit den skaa frauen angeht;train;1
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;003 - Prolog (2).mp3;003 - Prolog (2) (00531-00641).mp3;531;641;110;46394;sie beschwerten sich nicht sie hoffen nichts;sie beschwerten sich nicht sie hofften nichts;train;100
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;003 - Prolog (2).mp3;003 - Prolog (2) (00640-00737).mp3;640;737;97;40960;sie wagten kaum zu denken;sie wagten kaum zu denken;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;003 - Prolog (2).mp3;003 - Prolog (2) (02271-02388).mp3;2271;2388;117;49320;der stämmige zuchtmeister rannte den hang hoch;der stämmige zuchtmeister rannte den hang hoch;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;003 - Prolog (2).mp3;003 - Prolog (2) (02628-02727).mp3;2628;2727;99;41796;wo hatte dieser skaa gestanden;wo hatte dieser skaa gestanden;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;003 - Prolog (2).mp3;003 - Prolog (2) (03072-03180).mp3;3072;3180;108;45558;er glaubte den platz zu kennen wo der;er glaubte den platz zu kennen wo der;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;003 - Prolog (2).mp3;003 - Prolog (2) (06453-06551).mp3;6453;6551;98;41378;doch diese zeiten waren beinahe vergessen;doch diese zeiten waren beinahe vergessen;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;003 - Prolog (2).mp3;003 - Prolog (2) (08007-08106).mp3;8007;8106;99;41796;das getreide schien der mühen kaum wert;das getreide schien der mühen kaum wert;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;003 - Prolog (2).mp3;003 - Prolog (2) (09841-09938).mp3;9841;9938;97;40960;er zog die tür auf und schlüpfte nach drinn;er zog die tür auf und schlüpfte nach drinnen;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;003 - Prolog (2).mp3;003 - Prolog (2) (10634-10754).mp3;10634;10754;120;50574;natürlich würde die suppe sehr dünn sein wie immer;natürlich würde die suppe sehr dünn sein wie immer;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;003 - Prolog (2).mp3;003 - Prolog (2) (11599-11699).mp3;11599;11699;100;42214;und warf kelsier unzufriedene blicke zu;und warf kelsier unzufriedene blicke zu;train;3
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;003 - Prolog (2).mp3;003 - Prolog (2) (12025-12126).mp3;12025;12126;101;42632;der bist du irgendwie entronnen;der bist du irgendwie entronnen;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;003 - Prolog (2).mp3;003 - Prolog (2) (12167-12284).mp3;12167;12284;117;49320;ich habe nie großen gefallen an feldarbeit gefunden;ich habe nie großen gefallen an feldarbeit gefunden;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;003 - Prolog (2).mp3;003 - Prolog (2) (12446-12547).mp3;12446;12547;101;42632;er grinste und hob hände und arme;er grinste und hob hände und arme;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;003 - Prolog (2).mp3;003 - Prolog (2) (13527-13627).mp3;13527;13627;100;42214;es ist nicht die zeit für leichtfertigkeiten;es ist nicht die zeit für leichtfertigkeiten;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;003 - Prolog (2).mp3;003 - Prolog (2) (17021-17114).mp3;17021;17114;93;39289;teppers worte waren kein befehl;teppers worte waren kein befehl;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;003 - Prolog (2).mp3;003 - Prolog (2) (17574-17666).mp3;17574;17666;92;38871;ihr habt viel zu viel angst vor ihm;ihr habt viel zu viel angst vor ihm;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;003 - Prolog (2).mp3;003 - Prolog (2) (18112-18210).mp3;18112;18210;98;41378;war kelsier durch den nebel gewandert;war kelsier durch den nebel gewandert;train;100
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;004 - Prolog (3).mp3;004 - Prolog (3) (02677-02783).mp3;2677;2783;106;44722;die skaa mochten zwar unterjocht sein;die skaa mochten zwar unterjocht sein;train;10000
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;004 - Prolog (3).mp3;004 - Prolog (3) (02786-02891).mp3;2786;2891;105;44304;aber sie waren unheilbar geschwätzig;aber sie waren unheilbar geschwätzig;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;004 - Prolog (3).mp3;004 - Prolog (3) (02910-03024).mp3;2910;3024;114;48066;im westen herrschen örtliche grafen;im westen herrschen örtliche grafen;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;004 - Prolog (3).mp3;004 - Prolog (3) (03775-03887).mp3;3775;3887;112;47230;ungenehmigte auspeitschungen zu unterlassen;ungenehmigte auspeitschungen zu unterlassen;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;004 - Prolog (3).mp3;004 - Prolog (3) (04336-04453).mp3;4336;4453;117;49320;ich bitte um entschuldigung erwiderte kelsier;ich bitte um entschuldigung erwiderte kelsier;train;1
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;004 - Prolog (3).mp3;004 - Prolog (3) (05219-05313).mp3;5219;5313;94;39707;du willst mich zum narren halten reisender;du willst mich zum narren halten reisender;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;004 - Prolog (3).mp3;004 - Prolog (3) (05321-05424).mp3;5321;5424;103;43468;meinte tepper aber ich weiß was du vorhast;meinte tepper aber ich weiß was du vorhast;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;004 - Prolog (3).mp3;004 - Prolog (3) (05584-05680).mp3;5584;5680;96;40543;die narben an deinen armen verraten dich;die narben an deinen armen verraten dich;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;004 - Prolog (3).mp3;004 - Prolog (3) (06137-06247).mp3;6137;6247;110;46394;verschwindest wieder und überlässt es leuten wie mir;verschwindest wieder und überlässt es leuten wie mir;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;004 - Prolog (3).mp3;004 - Prolog (3) (06246-06338).mp3;6246;6338;92;38871;die falschen hoffnungen auszulöschen;die falschen hoffnungen auszulöschen;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;004 - Prolog (3).mp3;004 - Prolog (3) (06620-06720).mp3;6620;6720;100;42214;deine sorgen sind vollkommen unbegründet;deine sorgen sind vollkommen unbegründet;train;0
Brandon Sanderson;Detlef Bierstedt;Mistborn - Band 1 - Kinder des Nebels;004 - Prolog (3).mp3;004 - Prolog (3) (06722-06821).mp3;6722;6821;99;41796;ich habe nicht vor euch das essen wegzunehmen;ich habe nicht vor euch das essen wegzunehmen;train;0
