Autor;Sprecher;Titel;Orginaldatei;Datei;Start;End;Length;Size;Translated0;OriginalText;Action;Sort1
cv-corpus-6.1-2020-12-11/de;b60cb88ad7cd7feac807d5535481ca8e43d92c57a9b3413b2cf6446ddbb17432efefa4275524a58c1c9a9b91bba98f89351d120df2116ddb31237ab050c0e7d0;common-voice-de-02v30;common_voice_de_17685579.mp3;common_voice_de_17685579.mp3;0;144;144;54528;eine sorgfältige arbeitsweise wird erwartet;eine sorgfältige arbeitsweise wird erwartet;train;0
cv-corpus-6.1-2020-12-11/de;b60cb88ad7cd7feac807d5535481ca8e43d92c57a9b3413b2cf6446ddbb17432efefa4275524a58c1c9a9b91bba98f89351d120df2116ddb31237ab050c0e7d0;common-voice-de-02v30;common_voice_de_17685580.mp3;common_voice_de_17685580.mp3;0;123;123;46464;hier wäre noch platz für eine mikrowelle;hier wäre noch platz für eine mikrowelle;train7;100
cv-corpus-6.1-2020-12-11/de;b60cb88ad7cd7feac807d5535481ca8e43d92c57a9b3413b2cf6446ddbb17432efefa4275524a58c1c9a9b91bba98f89351d120df2116ddb31237ab050c0e7d0;common-voice-de-02v30;common_voice_de_17685581.mp3;common_voice_de_17685581.mp3;0;184;184;69888;müssen die blauen module auch belegt werden will eva wissen;müssen die blauen module auch belegt werden will eva wissen;train7;0
cv-corpus-6.1-2020-12-11/de;b60cb88ad7cd7feac807d5535481ca8e43d92c57a9b3413b2cf6446ddbb17432efefa4275524a58c1c9a9b91bba98f89351d120df2116ddb31237ab050c0e7d0;common-voice-de-02v30;common_voice_de_17685582.mp3;common_voice_de_17685582.mp3;0;148;148;56064;hast du dein ticket nach görlitz schon gebucht;hast du dein ticket nach görlitz schon gebucht;train;0
cv-corpus-6.1-2020-12-11/de;b61529321fdf3d1afe06ac118c879bb16a7f8a0e5202c0c35d72581e1afe207b3da650498dfa75941ba5e266069b973ca571fb1e47da97fbcec9b7c682a642f1;common-voice-de-02v30;common_voice_de_19268194.mp3;common_voice_de_19268194.mp3;0;285;285;108672;zusätzlich wurde den aufnahmen einiger lieder saxophon flügelhorn oder piano hinzugefügt;zusätzlich wurde den aufnahmen einiger lieder saxophon flügelhorn oder piano hinzugefügt;train7;10000
cv-corpus-6.1-2020-12-11/de;b64cb919a75b6751a1337f403c9d8970d519ed4defc6821ac08e9a6641cfd95addfbddb6d73c537d62e0b7d5af185b30dcd9035e9d486f45f2a930e8f18a7a9f;common-voice-de-02v30;common_voice_de_17817716.mp3;common_voice_de_17817716.mp3;0;157;157;59520;der tote winkel ist so groß dass selbst der mond darin verschwinden kann;der tote winkel ist so groß dass selbst der mond darin verschwinden kann;train;0
cv-corpus-6.1-2020-12-11/de;b64cb919a75b6751a1337f403c9d8970d519ed4defc6821ac08e9a6641cfd95addfbddb6d73c537d62e0b7d5af185b30dcd9035e9d486f45f2a930e8f18a7a9f;common-voice-de-02v30;common_voice_de_17817717.mp3;common_voice_de_17817717.mp3;0;135;135;51072;nur england schottland und wales gehören zu großbritannien;nur england schottland und wales gehören zu großbritannien;train;0
cv-corpus-6.1-2020-12-11/de;b64cb919a75b6751a1337f403c9d8970d519ed4defc6821ac08e9a6641cfd95addfbddb6d73c537d62e0b7d5af185b30dcd9035e9d486f45f2a930e8f18a7a9f;common-voice-de-02v30;common_voice_de_17817718.mp3;common_voice_de_17817718.mp3;0;102;102;38400;panama stadt ist die hauptstadt von panama;panama stadt ist die hauptstadt von panama;train;0
cv-corpus-6.1-2020-12-11/de;b64cb919a75b6751a1337f403c9d8970d519ed4defc6821ac08e9a6641cfd95addfbddb6d73c537d62e0b7d5af185b30dcd9035e9d486f45f2a930e8f18a7a9f;common-voice-de-02v30;common_voice_de_17817719.mp3;common_voice_de_17817719.mp3;0;157;157;59520;nach einer langen jagd wäre eine stärkung doch sicherlich angebracht;nach einer langen jagd wäre eine stärkung doch sicherlich angebracht;train;0
cv-corpus-6.1-2020-12-11/de;b64cb919a75b6751a1337f403c9d8970d519ed4defc6821ac08e9a6641cfd95addfbddb6d73c537d62e0b7d5af185b30dcd9035e9d486f45f2a930e8f18a7a9f;common-voice-de-02v30;common_voice_de_17817720.mp3;common_voice_de_17817720.mp3;0;120;120;45312;der atlantische ozean wird auch atlantik genannt;der atlantische ozean wird auch atlantik genannt;train;0
cv-corpus-6.1-2020-12-11/de;b660d98df6a17f40828176a743e88b09dbd8ca9aa1e1d1a862df73cf725f5db1ba76ace15093e039cbbd80eceecb909f90a0dd5e0d8e33b413f1db9fd0bcd4ec;common-voice-de-02v30;common_voice_de_23587388.mp3;common_voice_de_23587388.mp3;0;298;298;113664;erst durch einen videobeweis wurde die gültigkeit des treffers anerkannt;erst durch einen videobeweis wurde die gültigkeit des treffers anerkannt;train7;10000
cv-corpus-6.1-2020-12-11/de;b6b9eea6ba00758e175908dc1ecbdc62e7c79bd3b848d74303fbb413eea56aa25149b243e5c384064a11d519711ad316b0129e3f1359e01b26ff12f3da63c95d;common-voice-de-02v30;common_voice_de_20263375.mp3;common_voice_de_20263375.mp3;0;198;198;75264;erst bei kriegsende kam er frei;erst bei kriegsende kam er frei;train;0
cv-corpus-6.1-2020-12-11/de;b6b9eea6ba00758e175908dc1ecbdc62e7c79bd3b848d74303fbb413eea56aa25149b243e5c384064a11d519711ad316b0129e3f1359e01b26ff12f3da63c95d;common-voice-de-02v30;common_voice_de_20263380.mp3;common_voice_de_20263380.mp3;0;304;304;115968;durch die wissenschaftliche aufarbeitung schuf er die wiener schule der akupunktur;durch die wissenschaftliche aufarbeitung schuf er die wiener schule der akupunktur;train7;10000
cv-corpus-6.1-2020-12-11/de;b6b9eea6ba00758e175908dc1ecbdc62e7c79bd3b848d74303fbb413eea56aa25149b243e5c384064a11d519711ad316b0129e3f1359e01b26ff12f3da63c95d;common-voice-de-02v30;common_voice_de_20263382.mp3;common_voice_de_20263382.mp3;0;361;361;137856;es wird angenommen dass es sich um verbesserte schiffe der sowjetischen kola klasse handelt;es wird angenommen dass es sich um verbesserte schiffe der sowjetischen kola klasse handelt;train7;1
cv-corpus-6.1-2020-12-11/de;b6c818949bf3d43c85d3fd99eea9b6810010561a7b6b0a46b8ed67c6fcec0fe6b0c33101e274b5f72ddfa2d7d3f1d32d4a3e9541bf59a2e2c607c595ea122764;common-voice-de-02v30;common_voice_de_23377300.mp3;common_voice_de_23377300.mp3;0;204;204;77568;stockwerk betrieb;stockwerk betrieb;train7;100
cv-corpus-6.1-2020-12-11/de;b6c818949bf3d43c85d3fd99eea9b6810010561a7b6b0a46b8ed67c6fcec0fe6b0c33101e274b5f72ddfa2d7d3f1d32d4a3e9541bf59a2e2c607c595ea122764;common-voice-de-02v30;common_voice_de_23377301.mp3;common_voice_de_23377301.mp3;0;192;192;72960;regie führte richard donner;regie führte richard donner;train7;1
cv-corpus-6.1-2020-12-11/de;b6c818949bf3d43c85d3fd99eea9b6810010561a7b6b0a46b8ed67c6fcec0fe6b0c33101e274b5f72ddfa2d7d3f1d32d4a3e9541bf59a2e2c607c595ea122764;common-voice-de-02v30;common_voice_de_23377302.mp3;common_voice_de_23377302.mp3;0;256;256;97536;in wenigen fällen lagen über oder neben der urne größere steine;in wenigen fällen lagen über oder neben der urne größere steine;train7;0
cv-corpus-6.1-2020-12-11/de;b6c818949bf3d43c85d3fd99eea9b6810010561a7b6b0a46b8ed67c6fcec0fe6b0c33101e274b5f72ddfa2d7d3f1d32d4a3e9541bf59a2e2c607c595ea122764;common-voice-de-02v30;common_voice_de_23377303.mp3;common_voice_de_23377303.mp3;0;195;195;74112;wie sieht die kommission diese fragen;wie sieht die kommission diese fragen;train;0
cv-corpus-6.1-2020-12-11/de;b6e0c0ee236b43b5fc0aa2855289b85243f79a1f7b9edc9f697cd9e7f37873af0f7d6c6fe2006156d591f0d459344a28e13d827834be13bba81ad74b1dca0dba;common-voice-de-02v30;common_voice_de_20032603.mp3;common_voice_de_20032603.mp3;0;331;331;126336;ein großes anliegen war es ihm kinder für jesus zu begeistern;ein großes anliegen war es ihm kinder für jesus zu begeistern;train7;100
cv-corpus-6.1-2020-12-11/de;b6e0c0ee236b43b5fc0aa2855289b85243f79a1f7b9edc9f697cd9e7f37873af0f7d6c6fe2006156d591f0d459344a28e13d827834be13bba81ad74b1dca0dba;common-voice-de-02v30;common_voice_de_20032606.mp3;common_voice_de_20032606.mp3;0;260;260;99072;sein kommando übernahm generalleutnant hans werner mehlen;sein kommando übernahm generalleutnant hans werner mehlen;train7;100
cv-corpus-6.1-2020-12-11/de;b6f3d72ef6c838fc50589d147b8e3dea0d31523c3d5257ea1db3cec393e3f43ae6f19cec83917108d7fd8fa00ecc3a2326c3447439beba68e342286bd79f5fc8;common-voice-de-02v30;common_voice_de_18985261.mp3;common_voice_de_18985261.mp3;0;288;288;109824;dieses jahr baut sie auch kürbisse an drüben beim misthaufen;dieses jahr baut sie auch kürbisse an drüben beim misthaufen;train;0
cv-corpus-6.1-2020-12-11/de;b6f3d72ef6c838fc50589d147b8e3dea0d31523c3d5257ea1db3cec393e3f43ae6f19cec83917108d7fd8fa00ecc3a2326c3447439beba68e342286bd79f5fc8;common-voice-de-02v30;common_voice_de_18985264.mp3;common_voice_de_18985264.mp3;0;203;203;77184;ich kann die skepsis nachvollziehen;ich kann die skepsis nachvollziehen;train;0
cv-corpus-6.1-2020-12-11/de;b70e957225af8a147f43e5288f32f6ed96f875688a956ff6aa2e5a97d4b238f0de9f9fdec81ece677ce3c9a7b7f96825abe0fe6a7e26926a31889e2857cec238;common-voice-de-02v30;common_voice_de_17748495.mp3;common_voice_de_17748495.mp3;0;250;250;95232;nach einer langen jagd wäre eine stärkung doch sicherlich angebracht;nach einer langen jagd wäre eine stärkung doch sicherlich angebracht;train;0
cv-corpus-6.1-2020-12-11/de;b70e957225af8a147f43e5288f32f6ed96f875688a956ff6aa2e5a97d4b238f0de9f9fdec81ece677ce3c9a7b7f96825abe0fe6a7e26926a31889e2857cec238;common-voice-de-02v30;common_voice_de_17748496.mp3;common_voice_de_17748496.mp3;0;204;204;77568;der tote winkel ist so groß dass selbst der mond darin verschwinden kann;der tote winkel ist so groß dass selbst der mond darin verschwinden kann;train;0
