Autor;Sprecher;Titel;Orginaldatei;Datei;Start;End;Length;Size;Translated0;OriginalText;Action;Translated1
WIKI;male-755d9b71-f36e-45a6-a437-edebcfaee08d;german-speechdata-package-v2-1v4;2015-01-27-11-31-32_Kinect-Beam.wav;2015-01-27-11-31-32_Kinect-Beam.mp3;0;187;187;106560;manche wagen haben die besonderheit dass der farrer rechts sitzt um das greifende mülltorn besser steuern zu können;manche wagen haben die besonderheit dass der fahrer rechts sitzt um das greifen der mülltonnen besser steuern zu können;train;manche wagen haben die besonderheit dass der pfahrer rechts sitzt um das greifen der mülltornen besser steuern zu können
WIKI;male-755d9b71-f36e-45a6-a437-edebcfaee08d;german-speechdata-package-v2-1v4;2015-01-27-11-31-32_Kinect-RAW.wav;2015-01-27-11-31-32_Kinect-RAW.mp3;0;191;191;108864;manche wagen haben die besonderheit dass der farrer rechts sitzt um das greifen der mültorn besser steuern zu können;manche wagen haben die besonderheit dass der fahrer rechts sitzt um das greifen der mülltonnen besser steuern zu können;train;manche wagen haben die besonderheit dass der fahrer rechts sitzt um das greifen der mülltornen besser steuern zu können
WIKI;male-755d9b71-f36e-45a6-a437-edebcfaee08d;german-speechdata-package-v2-1v4;2015-01-27-11-31-32_Realtek.wav;2015-01-27-11-31-32_Realtek.mp3;0;191;191;108864;manche wasen haben die besonderheit dass der fahre recht sitzt um das kreitende mültern besser steuern zu können;manche wagen haben die besonderheit dass der fahrer rechts sitzt um das greifen der mülltonnen besser steuern zu können;train;manche wagen haben die besondenheit dass der fahrer rechtssitzt um das greifen der mülltornen besser steuern zu können
WIKI;male-755d9b71-f36e-45a6-a437-edebcfaee08d;german-speechdata-package-v2-1v4;2015-01-27-11-31-32_Samson.wav;2015-01-27-11-31-32_Samson.mp3;0;191;191;108864;manche wagen haben die besonderheit dass der farrer rechts sitzt um das greifen der mültorn besser steuern zu können;manche wagen haben die besonderheit dass der fahrer rechts sitzt um das greifen der mülltonnen besser steuern zu können;train;manche wagen haben die besonderheit dass der fahrer rechts sitzt um das greifen der mülltornen besser steuern zu können
CITE;male-755d9b71-f36e-45a6-a437-edebcfaee08d;german-speechdata-package-v2-1v4;2015-01-27-11-31-41_Kinect-Beam.wav;2015-01-27-11-31-41_Kinect-Beam.mp3;0;79;79;44352;überlegen sie sich was sie tun gute frau;überlegen sie sich was sie tun gute frau;train;überlegen sie sich was sie tun gute frau
CITE;male-755d9b71-f36e-45a6-a437-edebcfaee08d;german-speechdata-package-v2-1v4;2015-01-27-11-31-41_Kinect-RAW.wav;2015-01-27-11-31-41_Kinect-RAW.mp3;0;82;82;46080;überlegen sie sich was sie tun gute frau;überlegen sie sich was sie tun gute frau;train;überlegen sie sich was sie tun gute frau
CITE;male-755d9b71-f36e-45a6-a437-edebcfaee08d;german-speechdata-package-v2-1v4;2015-01-27-11-31-41_Realtek.wav;2015-01-27-11-31-41_Realtek.mp3;0;82;82;46080;überlegen sie sich was wihr tun gute frau;überlegen sie sich was sie tun gute frau;train;überlegen sie sich was sie tun gute frau
CITE;male-755d9b71-f36e-45a6-a437-edebcfaee08d;german-speechdata-package-v2-1v4;2015-01-27-11-31-41_Samson.wav;2015-01-27-11-31-41_Samson.mp3;0;82;82;46080;überlegen sie sich was sie tun gute frau;überlegen sie sich was sie tun gute frau;train;überlegen sie sich was sie tun gute frau
PARL;male-755d9b71-f36e-45a6-a437-edebcfaee08d;german-speechdata-package-v2-1v4;2015-01-27-11-31-54_Kinect-Beam.wav;2015-01-27-11-31-54_Kinect-Beam.mp3;0;101;101;57024;aber vorerst sollten wir den andern weg versuchen;aber vorerst sollten wir den anderen weg versuchen;train;aber vorerst sollten wir den anderen weg versuchen
PARL;male-755d9b71-f36e-45a6-a437-edebcfaee08d;german-speechdata-package-v2-1v4;2015-01-27-11-31-54_Kinect-RAW.wav;2015-01-27-11-31-54_Kinect-RAW.mp3;0;104;104;58752;aber vorerst sollten wir den andern weg versuchen;aber vorerst sollten wir den anderen weg versuchen;train;aber vorerst sollten wir den anderen weg versuchen
