Autor;Sprecher;Titel;Orginaldatei;Datei;Start;End;Length;Size;Translated0;OriginalText;Action
WIKI;male-fdcf25ae-b3c8-4c7e-ad3b-2779e4742148;german-speechdata-package-v2-3v4;2014-05-16-10-40-04_Kinect-Beam.wav;2014-05-16-10-40-04_Kinect-Beam.mp3;0;144;144;81792;im flug wirkte der steinadler trotz seiner größe meist sehr leicht und elegant;im flug wirkt der steinadler trotz seiner größe meist sehr leicht und elegant;train
WIKI;male-fdcf25ae-b3c8-4c7e-ad3b-2779e4742148;german-speechdata-package-v2-3v4;2014-05-16-10-40-04_Kinect-RAW.wav;2014-05-16-10-40-04_Kinect-RAW.mp3;0;144;144;81792;im flug wirkte der steinadler trotz seiner größe meist sehr leicht und elegant;im flug wirkt der steinadler trotz seiner größe meist sehr leicht und elegant;train
WIKI;male-fdcf25ae-b3c8-4c7e-ad3b-2779e4742148;german-speechdata-package-v2-3v4;2014-05-16-10-40-04_Realtek.wav;2014-05-16-10-40-04_Realtek.mp3;0;144;144;81792;em flug wirkte der steinadler trotz seiner größe meist sehr leicht und elegant;im flug wirkt der steinadler trotz seiner größe meist sehr leicht und elegant;train
WIKI;male-fdcf25ae-b3c8-4c7e-ad3b-2779e4742148;german-speechdata-package-v2-3v4;2014-05-16-10-40-04_Samson.wav;2014-05-16-10-40-04_Samson.mp3;0;141;141;80064;im flug wirkte der steinadler trotz seiner größe meist sehr leicht und elegant;im flug wirkt der steinadler trotz seiner größe meist sehr leicht und elegant;train
WIKI;male-fdcf25ae-b3c8-4c7e-ad3b-2779e4742148;german-speechdata-package-v2-3v4;2014-05-16-10-40-04_Yamaha.wav;2014-05-16-10-40-04_Yamaha.mp3;0;141;141;80064;im flug wirkte der steinadler trotz seiner größe meist sehr leicht und elegant;im flug wirkt der steinadler trotz seiner größe meist sehr leicht und elegant;train
WIKI;male-fdcf25ae-b3c8-4c7e-ad3b-2779e4742148;german-speechdata-package-v2-3v4;2014-05-16-10-40-22_Kinect-Beam.wav;2014-05-16-10-40-22_Kinect-Beam.mp3;0;105;105;59328;münchen ist die landeshauptstadt des freistaates bayern;münchen ist die landeshauptstadt des freistaates bayern;train
WIKI;male-fdcf25ae-b3c8-4c7e-ad3b-2779e4742148;german-speechdata-package-v2-3v4;2014-05-16-10-40-22_Kinect-RAW.wav;2014-05-16-10-40-22_Kinect-RAW.mp3;0;112;112;63360;münchen ist die landeshauptstadt des freistaates bayern;münchen ist die landeshauptstadt des freistaates bayern;train
WIKI;male-fdcf25ae-b3c8-4c7e-ad3b-2779e4742148;german-speechdata-package-v2-3v4;2014-05-16-10-40-22_Realtek.wav;2014-05-16-10-40-22_Realtek.mp3;0;105;105;59328;münchen ist die landeshauptstadt des freistaates bayern;münchen ist die landeshauptstadt des freistaates bayern;train
WIKI;male-fdcf25ae-b3c8-4c7e-ad3b-2779e4742148;german-speechdata-package-v2-3v4;2014-05-16-10-40-22_Samson.wav;2014-05-16-10-40-22_Samson.mp3;0;105;105;59328;münchen ist die landeshauptstadt des freistaates bayern;münchen ist die landeshauptstadt des freistaates bayern;train
WIKI;male-fdcf25ae-b3c8-4c7e-ad3b-2779e4742148;german-speechdata-package-v2-3v4;2014-05-16-10-40-22_Yamaha.wav;2014-05-16-10-40-22_Yamaha.mp3;0;105;105;59328;münchen ist die landeshauptstadt des freistaates bayern;münchen ist die landeshauptstadt des freistaates bayern;train
